genre,avg_imdb_score
"Scifi, Family, Fantasy, Animation, Action",9.3
"Drama, Action, Comedy, Crime, Animation, Documentation, Family, Fantasy",9.0
"Scifi, Animation, Crime, Drama, Fantasy, Thriller",9.0
"Scifi, Action, Drama, Fantasy, Horror, Animation",9.0
"Western, Action, Scifi, Thriller, Animation, Comedy, Drama",8.9
"Scifi, Music, Thriller, Action",8.8
"Action, Comedy, Animation, Drama, Fantasy",8.8
"Action, Comedy, Romance, Drama, Fantasy, Horror",8.8
"Comedy, Drama, Music, Reality",8.7
"Scifi, Animation, Action, Drama, Thriller, War",8.7
"Animation, Scifi, Action, Fantasy, Thriller, Horror",8.7
"Scifi, Crime, Drama, Thriller",8.7
"Drama, Action, History, Romance, War",8.7
"Action, Fantasy, Scifi, Animation, Comedy",8.7
"Romance, Drama, Family, Sport, Documentation",8.6
"Action, Comedy, Drama, Sport",8.6
"Drama, Scifi, Horror, Thriller",8.6
"Crime, Scifi, Thriller, Drama, Fantasy",8.6
"Drama, Romance, Crime",8.6
"Drama, Animation, Fantasy, Scifi, Thriller",8.5
"Scifi, Action, Drama, Thriller, Fantasy, Animation",8.5
"Drama, Comedy, Thriller, Fantasy, Romance",8.5
"Comedy, Documentation, Reality",8.5
"Action, War, Drama, History, European",8.5
"Drama, Thriller, Crime, Romance, Scifi, Comedy",8.5
"Action, Animation, Comedy, Drama, Fantasy, Romance",8.5
"Scifi, Family, Fantasy, Animation, Comedy, Drama",8.5
"Thriller, Action, Comedy, Crime, Drama",8.4
"Sport, Family",8.4
"Action, Comedy, Crime, Drama, Romance",8.4
"Drama, War, Action",8.4
"Action, Drama, Sport",8.4
"Crime, Action, Drama, History",8.4
"Scifi, Comedy, Animation, Fantasy",8.4
"Drama, Animation, Scifi, Fantasy, Romance",8.4
"Crime, Drama, History, Thriller",8.4
"Scifi, Drama, Fantasy, Romance, Family",8.4
"Scifi, Music, Comedy, Drama, Family, Fantasy, Documentation",8.4
"Documentation, Animation",8.4
"Scifi, Thriller, Fantasy, Horror, Animation, Action, Drama, Comedy",8.4
"Scifi, Action, Thriller, Drama, Fantasy, Horror, Animation",8.4
"Action, Scifi, Comedy, Horror, Fantasy, Thriller",8.4
"Family, Drama, War",8.4
"Scifi, Comedy, Animation, Action, Fantasy, Thriller",8.4
"Thriller, Fantasy, Horror, Animation, Comedy, Drama, Family",8.4
"Drama, Animation, Comedy, Romance",8.4
"Scifi, Drama, Animation, Fantasy, Family, Horror, Action",8.4
"Action, Scifi, Fantasy, Animation, Comedy, Drama, Family",8.4
"Action, Scifi, Comedy, Drama, Family, Fantasy, Animation",8.4
"Scifi, Animation, Action, Drama, Family, Fantasy, Thriller",8.4
"Drama, Action, Romance, Fantasy, History",8.3
"Romance, Comedy, Drama, Documentation, European",8.3
"Fantasy, Romance, Animation, Drama",8.3
"Scifi, Action, Comedy, Drama, Animation",8.3
"Scifi, Thriller, Animation, Drama, Fantasy",8.3
"Animation, Comedy, Sport",8.3
"Western, Action, Crime, Drama",8.3
"Scifi, Fantasy, Animation, Comedy, Drama, Thriller, Crime, Horror, Action",8.3
"Scifi, Drama, Fantasy, Horror, Animation, Action",8.3
"War, Thriller, Action, Drama",8.3
"Action, Thriller, Drama, Scifi, Horror, History",8.3
"Crime, Drama, Thriller, Action, European",8.3
"Drama, Comedy, Reality",8.3
"Comedy, Drama, Family, Animation",8.3
"Romance, Comedy, Drama, History",8.2
"Drama, Comedy, Animation",8.2
"Fantasy, Action, Drama",8.2
"Drama, Sport, Thriller, Action, Crime",8.2
"Drama, Fantasy, Romance",8.2
"Comedy, Drama, Romance, Fantasy, Scifi",8.2
"Thriller, Music, Drama, Comedy, Crime",8.2
"Comedy, Drama, Animation, Romance",8.2
"Scifi, Comedy, Romance, Drama, Fantasy",8.2
"Action, Comedy, Drama, Fantasy, Horror, Romance, Scifi",8.2
"Scifi, Comedy, Thriller, Drama, Horror",8.2
"Animation, Comedy, Drama, Fantasy, Thriller",8.2
"Scifi, Action, Animation, Drama, Fantasy, Thriller",8.2
"Action, Drama, Scifi, Thriller, Horror",8.2
"Drama, Thriller, Action, Comedy, European",8.2
"Scifi, Action, Drama, Fantasy, Horror",8.2
"Drama, Action, Thriller, Romance",8.2
"Drama, Fantasy, Romance, Animation",8.2
"Animation, Action, Scifi, Family, Comedy, Drama, Fantasy",8.2
"Fantasy, Drama, Comedy",8.1
"Crime, Family, Comedy",8.1
"Drama, History, Documentation",8.1
"Action, Comedy, Drama, Fantasy, Scifi",8.1
"Comedy, Family, Animation, European",8.1
"Fantasy, Animation, Action, Comedy, Family, Drama",8.1
"Romance, Animation, Drama, Family",8.1
"Comedy, Drama, History, Crime",8.1
"Drama, Action, Sport, European",8.1
"Animation, Comedy, Thriller, Fantasy, Romance, Drama",8.1
"Scifi, Action, Crime, Drama, Thriller",8.1
"Documentation, Crime, Thriller, Drama",8.1
"Scifi, Crime, Drama, Fantasy",8.1
"Drama, Romance, Thriller, Action, Crime, European",8.1
"Crime, Comedy, Drama, Romance, Thriller",8.1
"Scifi, Horror, Animation, Action, Comedy, Fantasy",8.1
"Reality, Documentation, Comedy",8.1
History,8.1
"Scifi, Comedy, Thriller, Action, Crime, Fantasy",8.1
"Action, Crime, Drama, Thriller, Comedy",8.1
"Crime, Documentation, Drama, Thriller",8.1
"War, Crime, Drama, Thriller, European",8.1
"Crime, Thriller, Drama, Horror, Comedy",8.1
"Crime, Romance, Thriller, Drama",8.1
"War, Drama, Action, Thriller",8.1
"Action, Drama, Scifi, Fantasy, Animation, Family, European",8.1
"Action, Animation, Family, Scifi",8.1
"Action, Scifi, Animation, Comedy, Drama, Family, Fantasy",8.1
"Action, Family, Fantasy, Drama, Animation, Comedy, Romance",8.1
"War, Documentation, History",8.05
"Drama, History, Romance",8.0333333333333332
"Drama, Documentation, Comedy, Romance",8.0
"Documentation, Sport, European",8.0
"Drama, Animation",8.0
"Action, Drama, Comedy, Thriller",8.0
"Thriller, Romance",8.0
"Documentation, History, Sport",8.0
"Thriller, Drama, War",8.0
"Scifi, Comedy",8.0
"Drama, Action, Fantasy",8.0
"Drama, Fantasy, Action, History",8.0
"Drama, Romance, Scifi",8.0
"Animation, Music, Romance, Comedy, Drama",8.0
"Animation, Romance, Comedy, Drama",8.0
"Documentation, Comedy, History",8.0
"Documentation, War, History",8.0
"Comedy, Drama, Fantasy, Scifi, Action",8.0
"Drama, Action, Fantasy, Horror",8.0
"Drama, Fantasy, Music",8.0
"Action, History, Romance, Drama",8.0
"Animation, Action, Sport",8.0
"Comedy, Animation, Drama",8.0
"Drama, Comedy, Sport, Reality",8.0
"Reality, Documentation, Thriller",8.0
"Scifi, Drama, Thriller, Crime",8.0
"Drama, History, Crime",8.0
"Action, Drama, History, Documentation",8.0
"Scifi, Drama, Fantasy, Romance",8.0
"Comedy, Romance, Fantasy, Horror",8.0
"Scifi, Drama, Action, Thriller, Horror, Romance, Crime, Fantasy",8.0
"Action, Animation, Comedy, Romance",8.0
"Documentation, History, Reality",8.0
"Scifi, Comedy, Drama, Family, Fantasy, Romance, Animation, Action",8.0
"Scifi, Thriller, Drama, Fantasy, Horror",7.95
"Fantasy, Romance, Action, Comedy, Drama",7.9
"Documentation, Drama, History, War, Action",7.9
"Documentation, Thriller, Sport",7.9
"Drama, Romance, Horror, Thriller",7.9
"Drama, Documentation, War",7.9
"Drama, Thriller, Western",7.9
"Action, Scifi, Comedy, Fantasy, Animation",7.9
"Action, Comedy, Scifi, Animation, Drama, Fantasy, Romance",7.9
"Comedy, Family, Drama, Romance",7.9
"War, Drama, History, Romance, Thriller, European",7.9
"War, Drama, Romance, Thriller",7.9
"Documentation, Drama, Family, Comedy",7.9
"Scifi, War, Action, Drama, Animation",7.9
"Action, Comedy, Crime, Drama, Animation",7.9
"Action, Scifi, Fantasy, Animation, Comedy, Drama",7.9
"Animation, Comedy, Romance",7.9
"Crime, Drama, History, Sport",7.9
"Crime, Action, Documentation",7.9
"Crime, Action, European",7.9
"Drama, History, Romance, Crime",7.9
"Drama, History, Romance, War, Documentation, Comedy, European",7.9
"Action, Scifi, Drama, Fantasy, European",7.9
"Animation, Comedy, Family, Fantasy, Music",7.9
"Action, Comedy, Drama, Family, Scifi, Animation",7.9
"Action, Crime, Animation, Thriller, Family",7.9
"Scifi, Animation, Comedy, Drama",7.9
"Documentation, History, War",7.8999999999999995
"Drama, Music, Romance, Family",7.8
"Drama, Romance, War, Action",7.8
"Fantasy, Action, Drama, Horror, Romance, Animation",7.8
"Action, History, Drama",7.8
"War, Documentation, History, European",7.8
"War, Thriller, Drama",7.8
"Animation, Family, Comedy",7.8
"Documentation, Family, History",7.8
"Drama, Romance, Thriller, Fantasy, Horror, Scifi",7.8
"Fantasy, Comedy, Family, Animation, Action",7.8
"Drama, History, Thriller, War, Action, European",7.8
"Documentation, Music, Comedy, History",7.8
"Drama, History, War, Action",7.8
"Western, Crime, Drama, Thriller",7.8
"Scifi, Animation, Action, Comedy, Drama, Fantasy, Romance, Family",7.8
"Drama, Comedy, Animation, Romance",7.8
"Scifi, Action, Comedy, Animation, Fantasy",7.8
"Action, Drama, Scifi, War, Animation",7.8
"Reality, Comedy, Drama, Scifi",7.8
"Scifi, Comedy, Crime, Drama, Horror",7.8
"Action, Drama, Crime, Thriller, Comedy",7.8
"Family, Comedy, Romance",7.8
"Action, Comedy, Reality, Romance, Thriller",7.8
"Drama, Thriller, Comedy, History, Romance, Action",7.8
"Action, Animation, Drama, Scifi, Sport",7.8
"Scifi, Action, Thriller, Animation, Fantasy",7.8
"Drama, Action, History, Crime",7.8
"Action, Scifi, Thriller, Drama, Romance",7.8
"Scifi, Music, Animation, Drama",7.8
"Documentation, Fantasy, European",7.8
"Action, Family, Comedy, Drama",7.8
"Scifi, Comedy, Family, Fantasy, Animation",7.8
"Comedy, Sport, Animation, Action, Family",7.8
"Scifi, Action, Family, Animation, Fantasy, Comedy, Drama",7.8
"Action, Scifi, Drama, Fantasy, Animation",7.75
"Animation, Action, Fantasy",7.7
"Family, Reality",7.7
"Fantasy, Animation, Comedy, Drama, Family",7.7
"Animation, Drama, Sport",7.7
"Documentation, Thriller",7.7
"Comedy, Drama, Action, Crime",7.7
"Animation, Action, Drama, Scifi, War",7.7
"Animation, Comedy, Drama, Family, Fantasy, Scifi",7.7
"Fantasy, Romance, Comedy",7.7
"Drama, Comedy, Romance, Documentation, European",7.7
"Romance, Documentation, Drama, European",7.7
"Fantasy, Drama, Horror, Animation, Action",7.7
"Thriller, Crime, Drama, Western",7.7
"Thriller, Documentation, Crime, Drama",7.7
"Scifi, Drama, Animation, Action, Fantasy",7.7
"Comedy, Drama, Sport, Animation",7.7
"Animation, Drama",7.7
"Scifi, Action, Comedy, Drama, Fantasy, Animation",7.7
"Reality, Documentation, Sport",7.7
"Comedy, Drama, Crime, Horror, Action",7.7
"Scifi, Drama, Thriller, Fantasy, Horror, Romance",7.7
"Drama, Action, Comedy, Fantasy",7.7
"War, History, Documentation",7.7
"Drama, Romance, Thriller, Animation, Crime, Fantasy",7.7
"Drama, Fantasy, Thriller, Crime",7.7
"Scifi, Romance, Drama, Fantasy",7.7
"Action, Drama, Fantasy, Horror, Scifi",7.7
"Comedy, Animation, Romance",7.7
"Reality, Comedy, Horror",7.7
"Family, Fantasy, Romance, Animation, Action",7.7
"Comedy, Scifi, Action, Animation, Family, Fantasy",7.7
"Action, Comedy, Drama, Family, Fantasy, Music, Romance, Animation",7.7
"War, Documentation",7.6999999999999993
"Comedy, Drama, Romance, Thriller",7.6666666666666661
"Documentation, History, Crime",7.6499999999999995
"Drama, Crime, Action",7.6333333333333337
"War, Crime, Drama, Thriller",7.6333333333333329
"Comedy, Music, Documentation",7.6000000000000005
"Drama, History, Music, Romance",7.6
"Thriller, Documentation, Crime, History",7.6
"Documentation, Drama, History, Romance, European",7.6
"Drama, Family, History, European",7.6
"Drama, History, European",7.6
"Music, Documentation, History",7.6
"Drama, War, Action, History, Romance",7.6
"Comedy, Animation, Action, Fantasy, Family",7.6
"Animation, Comedy, Family, Scifi",7.6
"Documentation, European, Drama, Family",7.6
"Fantasy, Thriller, Animation, Action",7.6
"Romance, War, Comedy, Drama, European",7.6
"Fantasy, Romance, Family",7.6
"Drama, Comedy, History",7.6
"Thriller, Comedy, Crime, Drama",7.6
"Western, Thriller, Action, Crime, Drama",7.6
"Action, Comedy, Sport, Crime",7.6
"Drama, Action, Scifi",7.6
"Documentation, History, War, European",7.6
"Drama, Scifi, Fantasy",7.6
"Documentation, Sport, Comedy, European",7.6
"Scifi, Action, Animation, Drama, Western, Comedy, Fantasy, Romance, Thriller",7.6
"Action, Animation, Drama, Fantasy, Thriller, Horror, Scifi",7.6
"Action, Scifi, Thriller, Animation, Drama, Fantasy",7.6
"Scifi, Animation, Action, Drama, Fantasy, Horror",7.6
"Comedy, Fantasy, Scifi, Animation",7.6
"Western, Drama, Crime",7.6
"Drama, Fantasy, Horror, Thriller, Crime",7.6
"Reality, Comedy, Documentation, European",7.6
"Action, Drama, Scifi, Thriller, Fantasy",7.6
"Animation, Action, Drama, War",7.6
"Action, Drama, Crime, Comedy",7.6
"Crime, Action, Drama, Documentation",7.6
"Western, Documentation, Action, Drama, Crime",7.6
"Scifi, Thriller, Comedy, Drama, Horror, European",7.6
"Scifi, Fantasy, Horror, Thriller, Family, Music",7.6
"History, Documentation, Family",7.6
"Scifi, Animation, Drama, Fantasy, Music, Comedy, Family",7.6
"Scifi, Action, Comedy, Fantasy, Animation, Family",7.6
"Scifi, Action, Family, Fantasy, Animation, Comedy",7.6
"Documentation, Family",7.5500000000000007
"Drama, Scifi, Comedy",7.5500000000000007
"Drama, Crime, European",7.5500000000000007
"Drama, Comedy, Crime, Romance",7.5500000000000007
"Comedy, Drama, Music, Romance",7.5333333333333332
"Fantasy, War, Animation, Action, Drama, Horror",7.5
"Documentation, Crime, Sport",7.5
"Drama, Romance, Thriller, Fantasy",7.5
"Documentation, Crime, Drama, Thriller, War",7.5
"Scifi, Thriller, Drama, European",7.5
"Fantasy, Drama, Animation, Romance, European",7.5
"Comedy, Animation, Action, Family, Fantasy",7.5
"Thriller, War, Crime, Drama, Romance",7.5
"Thriller, European, Drama, Scifi, Crime",7.5
"Thriller, Crime, Romance, Comedy, Drama",7.5
"Drama, Crime, History, European",7.5
"War, Action, Drama",7.5
"Animation, Thriller, History, Drama, Sport",7.5
"Fantasy, Drama, Thriller, Animation, Family, European",7.5
"Drama, Romance, History, War",7.5
"Romance, History, War, Action, Drama",7.5
"Drama, History, Sport, Action",7.5
"Scifi, Fantasy, Thriller, Drama",7.5
"Action, Fantasy, Animation, Comedy",7.5
"Scifi, Horror, Family, Animation, Action, Drama, Fantasy",7.5
"War, Drama, Action",7.5
"Action, Crime, Drama, Scifi",7.5
"Drama, Romance, Fantasy, Horror, Action, Animation, Comedy",7.5
"Scifi, Drama, Thriller, Action",7.5
"Action, Comedy, Fantasy, Romance, Drama",7.5
"Drama, Action, Fantasy, Horror, Romance",7.5
"Comedy, Family, Fantasy, Animation, European",7.5
"Comedy, Drama, Fantasy, Scifi",7.5
"Action, Documentation",7.5
"Drama, Thriller, Crime, Fantasy",7.5
"Crime, Drama, Comedy, Action",7.5
"Action, Drama, Fantasy, Thriller, Scifi",7.5
"Action, Drama, Romance, Thriller, Crime",7.5
"Drama, Music, Crime, Documentation, Reality",7.5
"Comedy, Crime, Drama, Thriller, Action",7.5
"Action, Scifi, Thriller, Drama, Fantasy, Horror",7.5
"Action, Family, Scifi, Animation",7.5
"War, Action, Drama, Thriller",7.5
"Action, Thriller, Crime, Romance, Drama",7.5
"Reality, Romance, Documentation",7.5
"Animation, Action, Comedy, Scifi",7.5
"Family, Fantasy, Animation, Action, Comedy",7.5
"Family, Animation, Action, Comedy",7.5
"Scifi, Animation, Comedy, Family, Fantasy, Action",7.5
"Crime, Documentation, Sport",7.45
"Drama, Thriller, Comedy, Crime",7.45
"Reality, Drama",7.44
"Drama, Family",7.4333333333333327
"Western, Drama",7.4333333333333327
"Drama, Crime, Comedy",7.4250000000000007
"Documentation, War",7.4249999999999989
"History, Documentation",7.4
"Crime, Drama, Documentation, Thriller",7.4
"Drama, Family, Horror, Action, Fantasy, Animation, Comedy, Scifi, Thriller",7.4
"Documentation, Action",7.4
"Scifi, Action, Drama, Fantasy, Animation",7.4
"Family, Animation, Drama, Fantasy",7.4
"Drama, European, History",7.4
"Comedy, Drama, Family, Fantasy, Animation, Action",7.4
"Thriller, Horror, Crime, Scifi",7.4
"Sport, Documentation",7.4
"Drama, Family, Music, Documentation",7.4
"Comedy, Action, Romance, Family, Drama",7.4
"Drama, Comedy, Sport",7.4
"Drama, History, Sport",7.4
"Drama, War, History, Thriller, Family",7.4
"Action, Crime, Thriller, Drama",7.4
"Thriller, Crime, Drama, Romance, Action",7.4
"Drama, War, Action, History",7.4
"Drama, Crime, Action, Thriller",7.4
"Crime, Thriller, Drama, Action",7.4
"Action, Drama, History, War",7.4
"Thriller, Scifi, Drama, Crime, Action",7.4
"Thriller, Drama, Documentation, Fantasy, Music, Romance, European",7.4
"Drama, Crime, Sport",7.4
"Scifi, Drama, Action",7.4
"Scifi, Thriller, Drama, Horror, Fantasy",7.4
"Comedy, Drama, Western",7.4
"Drama, History, War, Documentation, Action",7.4
"Drama, Thriller, Crime, Horror, European",7.4
"Action, Crime, Drama, Romance",7.4
"Scifi, Thriller, Drama, Fantasy",7.4
"Action, Reality, Animation, Family, Comedy, Drama",7.4
"Comedy, Family, Documentation, Animation",7.4
"Animation, Comedy, European",7.4
"Comedy, Family, Scifi, Animation, European",7.4
"Comedy, Family, Action, Animation, European",7.4
"Documentation, Drama",7.3999999999999995
"Scifi, Drama, Fantasy, Action",7.3999999999999995
"Crime, Thriller, Drama",7.3846153846153841
"Documentation, History",7.3590909090909085
"Drama, Comedy, Romance, Action",7.35
"Thriller, Drama, Documentation",7.35
"Documentation, History, European",7.3375
"Drama, History, Thriller",7.325
"Crime, Thriller, Drama, European",7.3249999999999993
"Comedy, Drama, Romance, European",7.3000000000000007
"Scifi, Drama, Fantasy, Horror",7.3000000000000007
"Fantasy, Animation, Comedy, Drama, Family, Scifi",7.3
"Animation, Comedy, Family, Horror, Scifi",7.3
"Scifi, Comedy, Fantasy, Romance",7.3
"Drama, Family, Fantasy, Comedy",7.3
"Documentation, Crime, History, Sport",7.3
"Music, Documentation, History, Drama, European",7.3
"Drama, Romance, History, Music",7.3
"Scifi, Animation, Action, Drama, War",7.3
"Romance, Drama, History, War",7.3
"Thriller, Action, European",7.3
"Thriller, Crime, Fantasy, Drama",7.3
"Drama, Action, Romance",7.3
"Fantasy, Romance, Animation, Drama, Family",7.3
"Drama, Romance, Sport",7.3
"Comedy, Action, Animation, Romance, Family, Horror, Drama, Scifi",7.3
"Animation, Fantasy, Action, Romance, Comedy",7.3
"Western, Action, European",7.3
"Drama, Scifi, Action",7.3
"Drama, Crime, History, Thriller",7.3
"Drama, Action, Sport",7.3
"Drama, Comedy, Crime, Romance, Action",7.3
"Documentation, Crime, Drama",7.3
"Crime, Drama, Thriller, European",7.3
"Thriller, Crime, Drama, War, Romance",7.3
"Comedy, Thriller, Romance, Drama",7.3
"Western, Comedy, Drama, Romance",7.3
"Drama, History, Romance, War",7.3
"Drama, Thriller, Reality",7.3
"Scifi, Animation, Drama, Fantasy, Romance",7.3
"Scifi, Action, Drama, Animation",7.3
"Scifi, Romance, Animation, Action, Drama, Fantasy, Horror",7.3
"Scifi, Action, Animation, Comedy, Crime",7.3
"Action, Scifi, Western, Drama, Fantasy, Thriller",7.3
"Action, Fantasy, Thriller, Comedy, Family, Scifi, Romance, Animation",7.3
"Family, Comedy, Drama",7.3
"Scifi, Sport, Documentation, Reality",7.3
"Animation, Action, Comedy, Crime, Drama, Romance",7.3
"Documentation, Sport, Comedy, Drama",7.3
"Action, Drama, Romance",7.3
"Drama, Sport, Thriller, Crime",7.3
"Documentation, Drama, History, Romance, War",7.3
"War, Crime, Documentation, Thriller, Comedy, Drama",7.3
"Documentation, Drama, Thriller, Crime",7.3
"Scifi, Drama, Horror, Thriller",7.3
"Drama, Scifi, Thriller, Horror",7.3
"Crime, Sport, Documentation",7.3
"Scifi, Action, Drama, Thriller, Family",7.3
"Reality, Action",7.3
"Animation, Comedy, Fantasy",7.3
"Comedy, Family, Fantasy, Animation, Action",7.3
N/A,7.2799999999999994
"Drama, War",7.2749999999999995
"Documentation, Sport, Reality",7.25
"Drama, Comedy, Crime, European",7.25
"Animation, Comedy, Family, European",7.2333333333333325
Crime,7.2333333333333325
"Fantasy, Animation, Action",7.2166666666666668
"Documentation, Music",7.2025641025641018
"Comedy, Crime, Family, Fantasy, Scifi, Animation, Action, European",7.2
"Comedy, Horror, Scifi, European",7.2
"Scifi, Comedy, Drama, Fantasy",7.2
"Fantasy, Scifi, Animation, Action, Drama",7.2
"Drama, European, Romance, Family, Documentation",7.2
"Documentation, Crime, Music",7.2
"Drama, Family, Scifi",7.2
"Thriller, War, Drama, Action, History, European",7.2
"Drama, Thriller, Comedy",7.2
"Drama, Family, Thriller, Crime",7.2
"Thriller, Drama, History, European",7.2
"Scifi, Drama, War, Animation, Action",7.2
"Thriller, War, Action, Drama, History, European",7.2
"Drama, Crime, Action, Romance",7.2
"Comedy, Animation, Family, Fantasy, European",7.2
"Fantasy, Action, Comedy, Animation",7.2
"Fantasy, Drama, Animation, Action",7.2
"Thriller, Crime, Action, Drama",7.2
"Drama, Documentation, Crime, Romance",7.2
"Drama, Action, Crime, Comedy",7.2
"War, Drama",7.2
"Scifi, Drama, Comedy",7.2
"Scifi, Comedy, Fantasy, Animation, Action",7.2
"Scifi, Animation, Action, Fantasy",7.2
"Comedy, Drama, Action, Scifi, Animation",7.2
"Action, Animation, Drama, Thriller",7.2
"Crime, History, Fantasy, Drama, European",7.2
"Crime, History, Documentation",7.2
"Drama, Comedy, Scifi",7.2
"Comedy, Romance, Animation",7.2
"Romance, Fantasy, Comedy, Drama",7.2
"Scifi, Comedy, Family, Fantasy, Drama, Animation, Action",7.2
"Drama, Scifi, Fantasy, Family",7.2
"Animation, Action, Drama, Family, Fantasy",7.2
"Action, Animation, Family",7.2
"Scifi, Action, Family, Fantasy, Animation, Comedy, Drama",7.2
"Drama, Family, Animation, European",7.2
"Action, Comedy, Family, Fantasy, Scifi, Animation",7.2
"Scifi, Comedy, Family, Fantasy, Animation, Action, European",7.2
"Comedy, Family, Fantasy, Scifi, Animation, Action",7.2
"Scifi, Family, Fantasy, Animation, Comedy",7.2
"Scifi, Fantasy, Family, European",7.2
"Thriller, Crime, Drama, Scifi",7.1999999999999993
"Drama, History, War",7.1999999999999993
"Thriller, Comedy, Crime, Action",7.1999999999999993
"Action, Animation, Fantasy",7.16
"Comedy, Fantasy",7.1499999999999995
"Documentation, Sport",7.1363636363636358
"Drama, Documentation",7.125
"Drama, Thriller, Crime, European",7.125
"Drama, Action, Crime, Thriller",7.125
"Reality, European",7.1249999999999991
"Reality, Documentation",7.1222222222222227
"Drama, Comedy, Crime",7.1181818181818182
"Animation, Comedy, Drama, Family",7.1
"Animation, Comedy",7.1
"Animation, Scifi, Action, Drama, Fantasy, Thriller, Horror",7.1
"Documentation, Sport, War",7.1
"Action, War, Drama",7.1
