country_name,total_titles
United States of America,1791
India,570
Japan,243
United Kingdom of Great Britain and Northern Ireland,202
Korea,183
No information,165
Spain,151
France,116
Canada,91
Mexico,88
Brazil,81
Turkiye,77
Philippines,75
Germany,60
Australia,58
Nigeria,55
China,55
Indonesia,50
Italy,49
Taiwan,49
Argentina,39
Colombia,35
Poland,32
Thailand,27
Egypt,26
South Africa,26
Unknown states,21
Hong Kong,17
Sweden,17
Lebanon,15
Netherlands,14
Russian Federation,12
Singapore,12
Malaysia,11
United Arab Emirates,10
Denmark,10
Norway,10
Chile,9
Israel,9
Belgium,8
New Zealand,8
Saudi Arabia,8
Ireland,5
Kuwait,5
Austria,4
Finland,4
Peru,4
Romania,4
Palestine,4
Iceland,3
Pakistan,3
Tanzania,3
Bangladesh,2
Cameroon,2
Ghana,2
British Indian Ocean Territory,2
Jordan,2
Kenya,2
Portugal,2
Uruguay,2
Viet Nam,2
Congo,1
Czechia,1
Croatia,1
Hungary,1
Kyrgyzstan,1
Cambodia,1
Luxembourg,1
Mauritius,1
Mozambique,1
Puerto Rico,1
Paraguay,1
Senegal,1
Ukraine,1
Zimbabwe,1