release_year,total_titles
2022,180
2021,677
2020,651
2019,742
2018,733
2017,552
2016,351
2015,226
2014,150
2013,133
2012,105
2011,96
2010,71
2009,60
2008,59
2007,49
2006,48
2005,35
2004,29
2003,31
2002,20
2001,22
2000,13
1999,12
1998,25
1997,15
1996,8
1995,12
1994,13
1993,21
1992,3
1991,10
1990,7
1989,9
1988,7
1987,6
1986,6
1985,1
1984,5
1983,3
1982,8
1981,3
1980,4
1979,7
1978,1
1977,1
1976,3
1975,2
1974,1
1973,2
1972,2
1971,2
1969,2
1968,1
1967,1
1966,2
1964,1
1963,1
1962,1
1961,1
1960,1
1959,1
1958,1
1956,1
1954,2
1953,1